Entree,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Category,Restaurant
Farmhouse King,1220,720,80,28,3,335,2050,62,,15,,beef,burgerking
Hamburger,260,90,10,4,0,35,490,28,1,6,13,beef,burgerking
Rodeo King,1250,738,82,31,3.5,230,2270,69,,14,60,beef,burgerking
DOUBLE WHOPPER w/ Cheese,990,580,65,24,2,160,1480,53,3,11,52,beef,burgerking
DOUBLE WHOPPER w/o Cheese,900,510,57,19,2,140,1050,51,3,11,47,beef,burgerking
WHOPPER w/ Cheese,760,430,47,16,1,100,1410,53,3,11,33,beef,burgerking
WHOPPER w/o Cheese,670,360,40,11,1,75,980,51,3,11,29,beef,burgerking
WHOPPER JR. w/ Cheese,380,210,23,8,1,55,730,29,2,6,16,beef,burgerking
WHOPPER JR. w/o Cheese,340,170,19,5,0,40,510,28,2,6,14,beef,burgerking
Rodeo Crispy Chicken Sandwich,410,150,17,3,0,20,870,53,2,14,12,chicken,burgerking
BBQ Bacon Crispy Chicken Sandwich,440,243,27,4.5,0,15,630,44,,13,7,chicken,burgerking
Crispy Chicken Sandwich,670,370,41,7,0.5,60,1070,54,2,7,23,chicken,burgerking
Bacon Cheddar Ranch Crispy Chicken Sandwich,830,468,52,14,0.5,110,2100,57,,9,34,chicken,burgerking
Grilled Chicken Sandwich,470,170,19,3.5,0,85,850,39,2,6,37,chicken,burgerking
Original Chicken Sandwich,630,350,39,7,1,65,1390,46,3,4,24,chicken,burgerking
Spicy Crispy Chicken Jr.,410,220,25,4.5,0,35,850,35,2,5,12,chicken,burgerking
Chicken Nuggets 20 Piece,950,500,55,11,0,130,1530,50,5,0,51,chicken,burgerking
Chicken Nuggets 4 Piece,190,100,11,2,0,25,310,10,1,0,10,chicken,burgerking
Chicken Nuggets 6 Piece,290,150,17,3,0,40,460,15,1,0,15,chicken,burgerking
Chicken Nuggets (10pc),470,260,29,5,0,50,890,34,5,0,21,chicken,burgerking
Big Fish Sandwich,530,250,27,4.5,0,30,1360,54,2,7,17,Fish,burgerking
