Entree,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Category,Restaurant
Hash Browns Small,250,150,16,4,0,0,410,24,3,0,2,breakfast,burgerking
French Toast Sticks 3 Piece,230,100,11,2,0,0,260,29,1,8,3,breakfast,burgerking
French Toast Sticks 5 Piece,380,160,18,3,0,0,430,49,2,13,5,breakfast,burgerking
Quaker Oatmeal Maple and Brown Sugar Flavor,270,40,4,2,0,5,290,55,5,29,5,breakfast,burgerking
Quaker Oatmeal Original,140,30,4,1,0,5,100,23,3,1,5,breakfast,burgerking
WHOLE WING (EACH),210,130,14,4,0,60,610,8,1,0,13,chicken,popeyes
LEG (EACH),160,80,9,4,0,40,460,5,1,0,14,chicken,popeyes
THIGH (EACH),280,190,21,8,0,50,640,7,1,0,14,chicken,popeyes
BREAST (EACH),380,180,20,8,1,125,1230,16,2,0,35,chicken,popeyes
HANDCRAFTED TENDERS - SPICY OR MILD,445,181,21,9,1,103,1821,29,2,0,38,chicken,popeyes
HANDCRAFTED TENDERS - SPICY OR MILD,741,301,34,14,2,172,3035,48,3,0,63,chicken,popeyes
HANDCRAFTED TENDERS - BLACKENED,170,18,2,0,0,25,550,2,0,0,26,chicken,popeyes
HANDCRAFTED TENDERS - BLACKENED,283,30,3,0,0,42,917,3,0,0,43,chicken,popeyes
HANDCRAFTED NUGGETS®,225,120,14,6,1,38,345,15,2,0,11,chicken,popeyes
HANDCRAFTED NUGGETS®,338,180,20,9,1,56,517,23,2,0,16,chicken,popeyes
POPCORN SHRIMP,390,220,25,8,1,80,15,28,3,0,14,seafood,popeyes
BUTTERFLY SHRIMP*,420,220,25,9,1,85,1100,34,4,0,16,seafood,popeyes
CAJUN FISH FILET*,380,170,19,5,0,40,1650,37,2,4,16,seafood,popeyes
CATFISH FILET*,460,270,29,12,2,65,1140,27,1,0,21,seafood,popeyes
CHICKEN TENDER PO' BOY SANDWICH - SPICY OR MILD,600,290,33,8,1,55,1770,55,2,3,25,chicken,popeyes
CHICKEN TENDER PO' BOY SANDWICH - BLACKENED,580,280,32,6,1,95,1730,39,3,3,39,chicken,popeyes
POPCORN SHRIMP PO' BOY SANDWICH,660,370,41,11,1,65,1980,61,4,3,16,seafood,popeyes
CAJUN FISH PO' BOY SANDWICH*,750,470,52,17,0,85,2140,75,3,7,23,seafood,popeyes
CATFISH PO' BOY SANDWICH*,800,460,51,13,2,75,1640,59,4,3,30,seafood,popeyes
LOADED CHICKEN WRAP,310,110,12,5,0,30,790,35,3,0,14,chicken,popeyes
BISCUIT ,207,115,13,6,0,0,435,20,1,1,3,side,popeyes
CAJUN FRIES REGULAR,268,125,14,5,1,4,587,33,3,0,4,side,popeyes
CAJUN FRIES LARGE,804,374,42,15,2,10,1761,97,9,1,10,side,popeyes
CORN ON THE COB* COBBET (1),210,50,6,3,0,10,30,34,4,6,0,side,popeyes
CORN ON THE COB* COBBET (3),630,150,18,9,0,30,90,102,12,18,0,side,popeyes
MACARONI & CHEESE* REGULAR,219,84,10,5,0,16,999,24,2,3,8,side,popeyes
MACARONI & CHEESE* LARGE,655,253,28,14,0,47,2995,70,5,10,24,side,popeyes
MASHED POTATOES WITH CAJUN GRAVY REGULAR,110,35,4,2,0,5,590,18,1,1,3,side,popeyes
MASHED POTATOES WITH CAJUN GRAVY LARGE,330,105,12,6,0,15,1770,54,3,3,9,side,popeyes
RED BEANS & RICE REGULAR,247,144,16,5,0,14,606,22,6,0,8,side,popeyes
RED BEANS & RICE LARGE,610,363,40,13,0,36,1489,51,15,0,19,side,popeyes
CAJUN RICE* REGULAR,183,53,6,3,0,53,576,24,2,0,9,side,popeyes
CAJUN RICE* LARGE,548,159,18,8,0,157,1723,71,4,0,28,side,popeyes
GREEN BEANS REGULAR,55,16,2,0,0,7,676,7,2,2,3,side,popeyes
GREEN BEANS LARGE,167,48,6,0,0,20,2031,22,6,4,8,side,popeyes
COLE SLAW REGULAR,140,90,10,2,0,5,190,12,1,9,1,side,popeyes
COLE SLAW LARGE,420,270,30,5,0,15,570,36,3,27,3,side,popeyes
ONION RINGS REGULAR,278,169,19,9,1,12,458,25,3,2,3,side,popeyes
ONION RINGS LARGE,555,338,38,17,3,23,915,50,5,3,6,side,popeyes
JALAPEÑO,5,0,0,0,0,0,368,1,1,1,0,side,popeyes
Pico Guacamole 1/4 lb Burger,580,300,33,12,1.5,95,920,41,4,7,29,beef,mcdonalds
Sweet BBQ Bacon 1/4 lb Burger,690,340,37,14,1.5,110,1310,51,3,14,38,beef,mcdonalds
Big Mac,540,250,28,10,1,80,950,46,3,9,25,beef,mcdonalds
Quarter Pounder® with Cheese,530,240,27,13,1.5,100,1090,41,3,10,31,beef,mcdonalds
Double Quarter Pounder® with Cheese,770,400,45,21,2.5,175,1290,42,3,10,51,beef,mcdonalds
Hamburger,250,70,8,3,0,30,480,31,2,6,13,beef,mcdonalds
Cheeseburger,300,100,12,5,0.5,40,680,33,2,7,15,beef,mcdonalds
Double Cheeseburger,430,190,21,11,1,85,1040,35,2,7,25,beef,mcdonalds
McDouble,380,160,18,8,1,70,840,34,2,7,23,beef,mcdonalds
Bacon McDouble,450,200,22,10,1,85,1080,34,2,7,28,beef,mcdonalds
Triple Cheeseburger,520,250,28,13,1.5,110,1160,36,2,7,32,beef,mcdonalds
Buttermilk Crispy Chicken Tenders 10 piece,1210,630,70,12,1,240,3230,52,1,4,94,chicken,mcdonalds
Buttermilk Crispy Chicken Tenders 3 piece,370,190,21,3.5,0,70,910,16,0,0,28,chicken,mcdonalds
Buttermilk Crispy Chicken Tenders 4 piece,480,250,28,4.5,0,95,1290,21,0,1,38,chicken,mcdonalds
Buttermilk Crispy Chicken Tenders 6 piece,760,390,44,8,0.5,145,1890,32,1,1,58,chicken,mcdonalds
Chicken McNuggets 10 Piece,440,240,27,4.5,0,75,840,26,2,0,24,chicken,mcdonalds
Chicken McNuggets 20 Piece,890,480,53,9,0,145,1680,53,4,0,49,chicken,mcdonalds
Chicken McNuggets 4 Piece,180,100,11,2,0,30,340,11,1,0,10,chicken,mcdonalds
Sweet BBQ Bacon Chicken Sandwich Crispy,800,320,36,9,0.5,95,1820,80,5,18,39,chicken,mcdonalds
Sweet BBQ Bacon Chicken Sandwich Grilled,630,200,22,7,0,135,1930,61,4,18,48,chicken,mcdonalds
Pico Guacamole Chicken Sandwich Crispy,680,280,32,7,0,80,1430,69,6,12,31,chicken,mcdonalds
Pico Guacamole Chicken Sandwich Grilled,520,160,18,6,0,115,1540,50,4,12,40,chicken,mcdonalds
Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,200,23,5,0,60,1050,64,4,11,28,chicken,mcdonalds
Premium Crispy Chicken Deluxe Sandwich,530,200,22,4,0,45,1000,59,3,13,25,chicken,mcdonalds
McChicken,350,130,15,3.5,0,40,600,40,2,5,15,chicken,mcdonalds
Premium Bacon Ranch Salad w/ Crispy Chicken,490,250,28,8,0,95,1120,28,4,4,33,salad,mcdonalds
Premium Bacon Ranch Salad w/ Grilled Chicken,320,120,14,6,0,45,1230,9,3,4,42,salad,mcdonalds
Premium Southwest Salad w/ Crispy Chicken,520,230,25,6,0,75,960,46,8,9,28,salad,mcdonalds
Premium Southwest Salad w/ Grilled Chicken,350,100,12,4.5,0,110,1070,27,6,9,37,salad,mcdonalds
Side Salad,20,0,0,0,0,0,10,4,1,2,1,salad,mcdonalds
Filet-O-Fish®,380,170,18,4,0,40,640,38,2,5,15,fish,mcdonalds
French Fries Large,510,220,24,3.5,0,0,350,66,6,0,7,side,mcdonalds
French Fries Medium,340,140,16,2,0,0,230,44,4,0,4,side,mcdonalds
French Fries Small,230,100,11,2,0,0,160,29,3,0,3,side,mcdonalds
Fruit 'n Yogurt Parfait,150,20,2,1,0,5,75,30,1,22,4,breakfast,mcdonalds
Egg McMuffin,300,110,12,6,0,245,730,30,2,3,18,breakfast,mcdonalds
Egg White Delight McMuffin,260,70,8,4.5,0,35,750,29,2,3,16,breakfast,mcdonalds
Sausage McMuffin®,400,230,25,10,0,55,740,29,2,3,14,breakfast,mcdonalds
Sausage McMuffin® with Egg,470,270,30,12,0,275,810,30,2,3,21,breakfast,mcdonalds
"Bacon, Egg & Cheese Biscuit",450,220,24,12,0,200,1290,40,3,3,18,breakfast,mcdonalds
Sausage Biscuit,460,270,30,13,0,40,1050,36,2,3,11,breakfast,mcdonalds
Sausage Biscuit with Egg,530,310,34,15,0,205,1140,38,2,3,17,breakfast,mcdonalds
"Bacon, Egg & Cheese McGriddles",420,160,18,8,0,195,1230,45,2,15,18,breakfast,mcdonalds
Sausage McGriddles®,430,220,24,9,0,35,990,42,1,15,11,breakfast,mcdonalds
"Sausage, Egg & Cheese McGriddles",550,290,32,13,0,215,1280,45,2,15,20,breakfast,mcdonalds
"Bacon, Egg & Cheese Bagel",550,220,25,11,0.5,225,1260,54,4,7,26,breakfast,mcdonalds
Big Breakfast®,750,440,49,18,0,465,1490,53,3,3,25,breakfast,mcdonalds
Big Breakfast with Hotcakes,1350,590,65,25,0.5,510,2100,155,6,48,35,breakfast,mcdonalds
Hotcakes,600,150,16,7,0,45,610,102,2,45,9,breakfast,mcdonalds
Hotcakes and Sausage,790,310,35,13,0,80,890,103,2,45,16,breakfast,mcdonalds
Sausage Burrito,290,140,15,6,0,165,800,26,1,2,13,breakfast,mcdonalds
Hash Brown,150,80,9,1.5,0,0,320,16,1,0,1,breakfast,mcdonalds
Fruit & Maple Oatmeal w/ Brown Sugar,310,35,4,1.5,0,5,140,62,5,33,6,breakfast,mcdonalds
Fruit & Maple Oatmeal w/o Brown Sugar,260,40,4,1.5,0,5,115,49,5,18,6,breakfast,mcdonalds
